mapsUrl,name,rating,reviewCount,category,separator,address1,address,openingStatus,closingInfo,phone,icon,action,imageUrl,keyReviewSnippet
"https://www.google.com/maps/place/Best+Care+VetZone+Animal+Hospital+and+Petshop/data=!4m7!3m6!1s0x3ae369b5ee788aaf:0xabd658691d974ce2!8m2!3d7.2876521!4d80.6240018!16s%2Fg%2F11g0kqm6_r!19sChIJr4p47rVp4zoR4kyXHWlY1qs?authuser=0&hl=en&rclk=1","Best Care VetZone Animal Hospital and Petshop","4.3","(254)","Animal hospital","·","·","25 George E De Silva Mawatha","Open","· Closes 8 PM","077 178 4784","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","The doctors and staff are very caring, friendly, and professional."
"https://www.google.com/maps/place/Royalpets+Animal+Hospital/data=!4m7!3m6!1s0x3ae36634b6565325:0xd3a09f299c9e5231!8m2!3d7.2927271!4d80.648812!16s%2Fg%2F11fx8gkjnf!19sChIJJVNWtjRm4zoRMVKenCmfoNM?authuser=0&hl=en&rclk=1","Royalpets Animal Hospital","4.4","(101)","Animal hospital","·","117/17/1/1 Anagarika Dharmapala Mawatha","Open 24 hours","·","","076 887 3874","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","The staff is very friendly and the environment is clean and calm."
"https://www.google.com/maps/place/Pet+Care+Animal+Hospital-Kandy/data=!4m7!3m6!1s0x3ae367ebab82938b:0x1669487ffae5235e!8m2!3d7.2847797!4d80.6630433!16s%2Fg%2F11h03fm5hk!19sChIJi5OCq-tn4zoRXiPl-n9IaRY?authuser=0&hl=en&rclk=1","Pet Care Animal Hospital-Kandy","4.4","(240)","Animal hospital","·","·","A26","Open","· Closes 7 PM","077 495 2194","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","They administered IV treatment and did not charge me at all."
"https://www.google.com/maps/place/Dr.Pet+Clinic/data=!4m7!3m6!1s0x3ae369faa8e6fe6b:0xe8a572bdd305a4b0!8m2!3d7.3175615!4d80.6305088!16s%2Fg%2F11h6dh5hlf!19sChIJa_7mqPpp4zoRsKQF071ypeg?authuser=0&hl=en&rclk=1","Dr.Pet Clinic","4.3","(28)","Veterinarian","·","8J9J+26C, Nittawela Junction Bus Stop, Katugastota Rd","·","Open","· Closes 7:30 PM","077 234 5300","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","Love the dogs and you the best dr for animals"
"https://www.google.com/maps/place/KANDY+VET+CARE/data=!4m7!3m6!1s0x3ae36979bbe134eb:0x83c8188f244e3d88!8m2!3d7.2651408!4d80.5630781!16s%2Fg%2F11rc9qzr9l!19sChIJ6zThu3lp4zoRiD1OJI8YyIM?authuser=0&hl=en&rclk=1","KANDY VET CARE","4.9","(44)","Animal hospital","·","No.97, Embilmeegama","·","Open","· Closes 7:30 PM","077 836 8345","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","The place is easy to be found and they answer the hotline all the time."
"https://www.google.com/maps/place/Animal+Clinic/data=!4m7!3m6!1s0x3ae3699846f2a451:0x28e43a3d75620202!8m2!3d7.3170023!4d80.6228124!16s%2Fg%2F11mbq5ll7r!19sChIJUaTyRphp4zoRAgJidT065Cg?authuser=0&hl=en&rclk=1","Animal Clinic","4.6","(16)","Animal hospital","·","8J8F+R43","·","Open","· Closes 8 PM","077 720 8026","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","I highly recommended."
"https://www.google.com/maps/place/Veterinary+Hospital/data=!4m7!3m6!1s0x3ae368c52a1cda4d:0x8b1ebed4560d4699!8m2!3d7.2673437!4d80.5995614!16s%2Fg%2F11gglrhfjs!19sChIJTdocKsVo4zoRmUYNVtS-Hos?authuser=0&hl=en&rclk=1","Veterinary Hospital","3.7","(43)","Government hospital","·","·","7H8X+WR6 Animal Clinic","Closed","· Opens 8 AM Mon","0812 388 056","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","Kind Docrtors and Staff."
"https://www.google.com/maps/place/Animal+Clinic/data=!4m7!3m6!1s0x3ae367e2b82cba1b:0xc73ea9cbabb7969e!8m2!3d7.3286854!4d80.6338818!16s%2Fg%2F11fzrbv578!19sChIJG7osuOJn4zoRnpa3q8upPsc?authuser=0&hl=en&rclk=1","Animal Clinic","4.1","(20)","Veterinarian","·","8JHM+FHC, Madawala Rd","·","Open","· Closes 7:30 PM","071 230 3906","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","Best service"
"https://www.google.com/maps/place/Veterinary+Teaching+Hospital,Faculty+of+Veterinary+Medicine,+University+of+Peradeniya./data=!4m7!3m6!1s0x3ae2585334d52fe5:0xd3c14b3f63b75adc!8m2!3d7.2635615!4d80.5954329!16s%2Fg%2F1jkxfg1pm!19sChIJ5S_VNFNY4joR3Fq3Yz9LwdM?authuser=0&hl=en&rclk=1","Veterinary Teaching Hospital,Faculty of Veterinary Medicine, University of Peradeniya.","3.2","(112)","Hospital","·","·","Closed","B364","· Opens 8 AM Sun","0812 388 664","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","It was evident that their hearts were genuinely invested in their work."
"https://www.google.com/maps/place/Petmed+Animal+Clinic/data=!4m7!3m6!1s0x3ae3612c86789d57:0x1fcb18b16f03a9f2!8m2!3d7.2929681!4d80.7237381!16s%2Fg%2F11c1v8wcs1!19sChIJV514hixh4zoR8qkDb7EYyx8?authuser=0&hl=en&rclk=1","Petmed Animal Clinic","3.6","(49)","Veterinarian","·","·","7PVF+5FQ","Open","· Closes 7 PM","071 542 4021","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","Dr. Jayawardana is doing a great job."
"https://www.google.com/maps/place/Pet+Animal+Clinic+and+Surgery/data=!4m7!3m6!1s0x3ae3698d95b0edf7:0xb4dd5bcbd940523f!8m2!3d7.2961295!4d80.6281141!16s%2Fg%2F11kspzd026!19sChIJ9-2wlY1p4zoRP1JA2ctb3bQ?authuser=0&hl=en&rclk=1","Pet Animal Clinic and Surgery","4.9","(11)","Animal hospital","·","53 Bahirawakanda Path","·","Closed","· Opens 6:30 PM","077 717 8776","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","Excellent service and caring attention!"
"https://www.google.com/maps/place/Riverside+Garden%27s+Animal+Clinic/data=!4m7!3m6!1s0x3ae369edf4658987:0xf6916cc879a2411f!8m2!3d7.3170298!4d80.6245676!16s%2Fg%2F11y45b_2my!19sChIJh4ll9O1p4zoRH0GiechskfY?authuser=0&hl=en&rclk=1","Riverside Garden's Animal Clinic","5.0","(3)","Veterinarian","·","No.2/74 Riverside Gardens","·","Open","· Closes 9 PM","071 117 3571","","Directions","",""
"https://www.google.com/maps/place/Family+Pet+Clinic-+ANIMA+PET+CLINIC/data=!4m7!3m6!1s0x3ae3678c2ff073fd:0x37070e5db954500f!8m2!3d7.3014527!4d80.6669761!16s%2Fg%2F11ty5x_21j!19sChIJ_XPwL4xn4zoRD1BUuV0OBzc?authuser=0&hl=en&rclk=1","Family Pet Clinic- ANIMA PET CLINIC","5.0","(2)","Animal hospital","·","Yakghapitiya bus stand, Gunepana, 60/1 road","·","Open","· Closes 7:30 PM","071 448 1274","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","Good service 👍👍👍"
"https://www.google.com/maps/place/Balagolla+Animal+Clinic/data=!4m7!3m6!1s0x3ae367594e07d3d7:0xb25055a557aa4dbc!8m2!3d7.2862328!4d80.7082388!16s%2Fg%2F11qqpd1s5c!19sChIJ19MHTlln4zoRvE2qV6VVULI?authuser=0&hl=en&rclk=1","Balagolla Animal Clinic","2.7","(49)","Veterans center","·","151 Rathmaloya Ln","·","Open","· Closes 8 PM","077 656 2956","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","Worked during power cuts with the aid of limited lightning resources."
"https://www.google.com/maps/place/Farm+Animal+Hospital/data=!4m7!3m6!1s0x3ae368d1522bd4a3:0xa61c6817d15752ed!8m2!3d7.2597243!4d80.5941478!16s%2Fg%2F1vv2qp2v!19sChIJo9QrUtFo4zoR7VJX0RdoHKY?authuser=0&hl=en&rclk=1","Farm Animal Hospital","2.5","(8)","Veterinary care","·","7H5V+VMJ, Labuduwa Sri Damma Mawatha","Open 24 hours","·","","0812 312 138","","Website","",""
"https://www.google.com/maps/place/Central+Veterinary+Clinic/data=!4m7!3m6!1s0x3ae35da8313bc79d:0x2dcd634a21321f76!8m2!3d7.3442573!4d80.6783121!16s%2Fg%2F11jznqz6_n!19sChIJncc7Mahd4zoRdh8yIUpjzS0?authuser=0&hl=en&rclk=1","Central Veterinary Clinic","4.5","(8)","Animal hospital","·","274 Kandy road","·","Open","· Closes 8 PM","074 349 0491","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Pet+Smart/data=!4m7!3m6!1s0x3ae367e819b66571:0x6d66bb9e034a673b!8m2!3d7.2870192!4d80.6557924!16s%2Fg%2F11lsmk92_7!19sChIJcWW2Gehn4zoRO2dKA567Zm0?authuser=0&hl=en&rclk=1","Pet Smart","4.0","(2)","Animal hospital","·","352/D Darmaraja Mw","·","Open 24 hours","","077 791 2414","","Directions","",""
"https://www.google.com/maps/place/Royal+Crest+Animal+Clinic/data=!4m7!3m6!1s0x3ae367fe3ff34579:0xd675837d5640e295!8m2!3d7.3244747!4d80.6777476!16s%2Fg%2F11txjhz2fd!19sChIJeUXzP_5n4zoRleJAVn2DddY?authuser=0&hl=en&rclk=1","Royal Crest Animal Clinic","4.3","(6)","Animal hospital","·","8MFH+Q3Q, Napana - Rajawella Rd","·","Open","· Closes 7 PM","076 272 4455","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","Best place to treat your"
"https://www.google.com/maps/place/Animal+Clinic/data=!4m7!3m6!1s0x3ae367ad9db843a1:0x1b0a0b6f56084698!8m2!3d7.3008696!4d80.666977!16s%2Fg%2F11qnrzxyvw!19sChIJoUO4na1n4zoRmEYIVm8LChs?authuser=0&hl=en&rclk=1","Animal Clinic","","","Veterinary care","·","8M28+8QX, Yakgahapitiya - Menikhinna Road","","Open","· Closes 8 AM Sun","","","Directions","",""
"https://www.google.com/maps/place/Paw%27s+%26+Claw%27s+Animal+Clinic/data=!4m7!3m6!1s0x3ae36fe8e686067f:0xdef29f169b3cda26!8m2!3d7.2185934!4d80.5978746!16s%2Fg%2F11tx8gk9cf!19sChIJfwaG5uhv4zoRJto8mxaf8t4?authuser=0&hl=en&rclk=1","Paw's & Claw's Animal Clinic","4.8","(11)","Animal hospital","·","karamada","Open","·","· Closes 6:30 PM","071 930 2811","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","Very professional and friendly staff, good knowledge of everything."
"https://www.google.com/maps/place/New+Paw+Animal+Clinic/data=!4m7!3m6!1s0x3ae3670038654a8b:0xefa85dd9b2eb7631!8m2!3d7.3299194!4d80.6354742!16s%2Fg%2F11yxk5ms2w!19sChIJi0plOABn4zoRMXbrstldqO8?authuser=0&hl=en&rclk=1","New Paw Animal Clinic","","","Veterinarian","·","8JHP+X59, Madawala Rd","","","","076 619 9430","","Directions","",""
"https://www.google.com/maps/place/PET+CARE+-+ANIMAL+CLINIC+AND+SURGERY+-+DR.EKANAYAKE/data=!4m7!3m6!1s0x3ae36700206f5e1d:0x998cac2829380c04!8m2!3d7.2686514!4d80.6632049!16s%2Fg%2F11vrw0lv1l!19sChIJHV5vIABn4zoRBAw4KSisjJk?authuser=0&hl=en&rclk=1","PET CARE - ANIMAL CLINIC AND SURGERY - DR.EKANAYAKE","","","Veterinarian","·","NO.213 AMPITIYA","·","Open","· Closes 8 PM","071 847 5956","","Directions","",""
